,Unnamed: 0,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,19316,CLINTON: No.,1,19_1992,0,0,1866,1879,,"{""O"": 4}",O, No.,CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,O,148.64,150.84,clip_0
1,19317,"There are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more, but the truth is that middle-class Americans are basically the only group of Americans who've been taxed more in the 1980s and during the last 12 years, even though their incomes have gone down.",1,19_1992,1,1,1879,2218,,"{""Claim"": 28, ""O"": 7, ""Premise"": 31}",Premise,"There are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more, but the truth is that middle-class Americans are basically the only group of Americans who've been taxed more in the 1980s and during the last 12 years, even though their incomes have gone down.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Mixed,150.84,169.12,clip_1
2,19318,"The wealthiest Americans have been taxed much less, even though their incomes have gone up.",1,19_1992,2,2,2218,2310,,"{""Premise"": 17}",Premise,"The wealthiest Americans have been taxed much less, even though their incomes have gone up.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Premise,169.12,175.0,clip_2
3,19319,"Middle-class people will have their fair share of changing to do, and many challenges to face, including the challenge of becoming constantly re-educated.",1,19_1992,3,3,2310,2465,,"{""O"": 26}",O,"Middle-class people will have their fair share of changing to do, and many challenges to face, including the challenge of becoming constantly re-educated.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,O,175.0,183.48,clip_3
4,19320,"But my plan is a departure from trickle-down economics, just cutting taxes on the wealthiest Americans and getting out of the way.",1,19_1992,4,4,2466,2597,,"{""O"": 4, ""Claim"": 20}",Claim,"But my plan is a departure from trickle-down economics, just cutting taxes on the wealthiest Americans and getting out of the way.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Claim,183.48,190.6,clip_4
5,19321,"It's also a departure from tax-and- spend economics, because you can't tax and divide an economy that isn't growing.",1,19_1992,5,5,2597,2714,,"{""Claim"": 9, ""O"": 3, ""Premise"": 12}",Premise,"It's also a departure from tax-and- spend economics, because you can't tax and divide an economy that isn't growing.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Mixed,190.6,197.64,clip_5
6,19322,I propose an American version of what works in other countries -- I think we can do it better: invest and grow.,1,19_1992,6,6,2715,2827,,"{""Claim"": 21, ""O"": 3}",Claim,I propose an American version of what works in other countries -- I think we can do it better: invest and grow.,CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Claim,197.64,204.04,clip_6
7,19323,"I believe we can increase investment and reduce the deficit at the same time, if we not only ask the wealthiest Americans and foreign corporations to pay their share; we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families; and we have $140 billion of spending cuts.",1,19_1992,7,7,2828,3210,,"{""Claim"": 14, ""O"": 6, ""Premise"": 56}",Premise,"I believe we can increase investment and reduce the deficit at the same time, if we not only ask the wealthiest Americans and foreign corporations to pay their share; we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families; and we have $140 billion of spending cuts.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Mixed,204.04,228.52,clip_7
8,19324,Invest and grow.,1,19_1992,8,8,3210,3227,,"{""Claim"": 3, ""O"": 1}",Claim,Invest and grow.,CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Claim,228.52,230.56,clip_8
9,19325,"Raise some more money, spend the money on tax incentives to have growth in the private sector, take the money from the defense cuts and reinvest it in new transportation and communications and environmental clean-up systems.",1,19_1992,9,9,3228,3453,,"{""Claim"": 35, ""O"": 4}",Claim,"Raise some more money, spend the money on tax incentives to have growth in the private sector, take the money from the defense cuts and reinvest it in new transportation and communications and environmental clean-up systems.",CLINTON,Candidate,VALIDATION,19 Oct 1992,1992,William(Bill) J. Clinton,Claim,230.56,242.16,clip_9
