,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,23704,GORE: I'm glad you clarified that.,1,28_2000,0,0,2168,2203,,"{""O"": 9}",O, I'm glad you clarified that.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,O,205.16,209.36,clip_0
1,1,1,23705,"GORE: Mr. Hankins, I don't feel good about it, and I think we ought to have a patient's bill of rights to take the medical decisions away from the HMOs and give them back to the doctors and nurses.",4,28_2000,0,0,2705,2903,,"{""O"": 5, ""Claim"": 40}",Claim," Mr. Hankins, I don't feel good about it, and I think we ought to have a patient's bill of rights to take the medical decisions away from the HMOs and give them back to the doctors and nurses.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,243.56,253.08,clip_1
2,2,2,23706,"I want to come back and tell you why, but if you will forgive me, I would like to say something right now at the beginning of this debate following on the moment of silence for Mel Carnahan and Randy Carnahan and Chris Sifford.",4,28_2000,1,1,2903,3131,,"{""O"": 47}",O,"I want to come back and tell you why, but if you will forgive me, I would like to say something right now at the beginning of this debate following on the moment of silence for Mel Carnahan and Randy Carnahan and Chris Sifford.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,O,253.08,269.04,clip_2
3,3,3,23707,"Tipper and I were good friends with Mel and Randy, and I know that all of us here want to extend our sympathy and condolences to Jean and the family and to the Sifford family.",4,28_2000,2,2,3131,3307,,"{""O"": 37}",O,"Tipper and I were good friends with Mel and Randy, and I know that all of us here want to extend our sympathy and condolences to Jean and the family and to the Sifford family.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,O,269.04,282.6,clip_3
4,4,4,23708,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy.,4,28_2000,3,3,3307,3466,,"{""O"": 3, ""Claim"": 19, ""Premise"": 10}",Claim,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Mixed,282.6,294.76,clip_4
5,5,5,23709,He was a fantastic governor of Missouri.,4,28_2000,4,4,3466,3507,,"{""Claim"": 7, ""O"": 1}",Claim,He was a fantastic governor of Missouri.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,294.76,298.52,clip_5
6,6,6,23710,This state became one of the top five in the nation for health care coverage for children under his leadership.,4,28_2000,5,5,3507,3619,,"{""Claim"": 20, ""O"": 1}",Claim,This state became one of the top five in the nation for health care coverage for children under his leadership.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,298.52,305.2,clip_6
7,7,7,23711,One of the best in advancing all kinds of benefits for children to grow up healthy and strong.,4,28_2000,6,6,3619,3714,,"{""Claim"": 18, ""O"": 1}",Claim,One of the best in advancing all kinds of benefits for children to grow up healthy and strong.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,305.2,312.2,clip_7
8,8,8,23712,"And of course, this debate also takes place at a time when the tragedy of the USS Cole is on our minds and hearts and insofar as the memorial service is tomorrow, I would like to also extend sympathy to the families of those who have died and those who are still missing, and the injured.",4,28_2000,7,7,3714,4003,,"{""O"": 3, ""Premise"": 32, ""Claim"": 25}",Premise,"And of course, this debate also takes place at a time when the tragedy of the USS Cole is on our minds and hearts and insofar as the memorial service is tomorrow, I would like to also extend sympathy to the families of those who have died and those who are still missing, and the injured.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Mixed,312.2,332.8,clip_8
9,9,9,23713,"Now, Mr. Hankins, I think that the situation that you describe has gotten completely out of hand.",4,28_2000,8,8,4003,4101,,"{""O"": 3, ""Claim"": 17}",Claim,"Now, Mr. Hankins, I think that the situation that you describe has gotten completely out of hand.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,332.8,341.76,clip_9
10,10,10,23714,"Doctors are giving prescriptions, they're recommending treatments, and then their recommendations are being overruled by HMOs and insurance companies.",4,28_2000,9,9,4101,4252,,"{""Premise"": 22, ""O"": 1}",Premise,"Doctors are giving prescriptions, they're recommending treatments, and then their recommendations are being overruled by HMOs and insurance companies.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Premise,341.76,351.92,clip_10
11,11,11,23715,That is unacceptable.,4,28_2000,10,10,4252,4274,,"{""Claim"": 3, ""O"": 1}",Claim,That is unacceptable.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,351.92,352.92,clip_11
12,12,12,23716,I support a strong national patient's bill of rights.,4,28_2000,11,11,4274,4328,,"{""Claim"": 10, ""O"": 1}",Claim,I support a strong national patient's bill of rights.,GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,352.92,356.64,clip_12
13,13,13,23717,"It is actually a disagreement between us, a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not.",4,28_2000,12,12,4328,4508,,"{""Claim"": 35, ""O"": 2}",Claim,"It is actually a disagreement between us, a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not.",GORE,Candidate,TEST,17 Oct 2000,2000,Albert A. Gore,Claim,356.64,367.88,clip_13
