,Unnamed: 0,Unnamed: 0.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,6806,"ROMNEY: Thank you, Bob.",4,40_2012,0,0,2042,2066,,"{""O"": 7}",O," Thank you, Bob.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,165.88,166.88,clip_0
1,1,6807,And thank you for agreeing to moderate this debate this evening.,4,40_2012,1,1,2066,2131,,"{""O"": 12}",O,And thank you for agreeing to moderate this debate this evening.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,166.88,169.92,clip_1
2,2,6808,Thank you to Lynn University for welcoming us here.,4,40_2012,2,2,2131,2183,,"{""O"": 10}",O,Thank you to Lynn University for welcoming us here.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,169.92,172.88,clip_2
3,3,6809,"And Mr. President, it's good to be with you again.",4,40_2012,3,3,2183,2234,,"{""O"": 13}",O,"And Mr. President, it's good to be with you again.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,172.88,175.08,clip_3
4,4,6810,"We were together at a humorous event a little earlier, and it's nice to maybe funny this time, not on purpose.",4,40_2012,4,4,2234,2345,,"{""O"": 25}",O,"We were together at a humorous event a little earlier, and it's nice to maybe funny this time, not on purpose.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,175.08,180.56,clip_4
5,5,6811,We'll see what happens.,4,40_2012,5,5,2345,2369,,"{""O"": 6}",O,We'll see what happens.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,180.56,183.04,clip_5
6,6,6812,"This is obviously an area of great concern to the entire world, and to America in particular, which is to see a -- a complete change in the -- the structure and the -- the environment in the Middle East.",4,40_2012,6,6,2369,2573,,"{""Premise"": 42, ""O"": 1}",Premise,"This is obviously an area of great concern to the entire world, and to America in particular, which is to see a -- a complete change in the -- the structure and the -- the environment in the Middle East.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,183.04,195.96,clip_6
7,7,6813,"With the Arab Spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the Middle East.",4,40_2012,7,7,2574,2796,,"{""Premise"": 41, ""O"": 3}",Premise,"With the Arab Spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the Middle East.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,195.96,209.24,clip_7
8,8,6814,"But instead, we've seen in nation after nation, a number of disturbing events.",4,40_2012,8,8,2796,2875,,"{""O"": 4, ""Claim"": 13}",Claim,"But instead, we've seen in nation after nation, a number of disturbing events.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,209.24,213.72,clip_8
9,9,6815,"Of course we see in Syria, 30,000 civilians having been killed by the military there.",4,40_2012,9,9,2875,2961,,"{""O"": 3, ""Premise"": 14}",Premise,"Of course we see in Syria, 30,000 civilians having been killed by the military there.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,213.72,218.8,clip_9
10,10,6816,"We see in -- in Libya, an attack apparently by, I think we know now, by terrorists of some kind against -- against our people there, four people dead.",4,40_2012,10,10,2961,3112,,"{""Premise"": 33, ""O"": 1}",Premise,"We see in -- in Libya, an attack apparently by, I think we know now, by terrorists of some kind against -- against our people there, four people dead.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,218.8,229.32,clip_10
11,11,6817,Our hearts and -- and minds go out to them.,4,40_2012,11,11,3113,3157,,"{""O"": 11}",O,Our hearts and -- and minds go out to them.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,229.32,231.44,clip_11
12,12,6818,"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.",4,40_2012,12,12,3157,3239,,"{""Premise"": 15, ""O"": 1}",Premise,"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,231.44,237.16,clip_12
13,13,6819,"We have in -- in Egypt, a Muslim Brotherhood president.",4,40_2012,13,13,3239,3295,,"{""Premise"": 11, ""O"": 1}",Premise,"We have in -- in Egypt, a Muslim Brotherhood president.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,237.16,240.4,clip_13
14,14,6820,And so what we're seeing is a pretty dramatic reversal in the kind of hopes we had for that region.,4,40_2012,14,14,3295,3395,,"{""O"": 3, ""Claim"": 19}",Claim,And so what we're seeing is a pretty dramatic reversal in the kind of hopes we had for that region.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,240.4,245.4,clip_14
15,15,6821,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon.",4,40_2012,15,15,3395,3480,,"{""O"": 4, ""Claim"": 7, ""Premise"": 7}",Claim,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Mixed,245.4,250.56,clip_15
16,16,6822,And -- and we're going to have to recognize that we have to do as the president has done.,4,40_2012,16,16,3480,3570,,"{""O"": 12, ""Claim"": 9}",O,And -- and we're going to have to recognize that we have to do as the president has done.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Mixed,250.56,255.24,clip_16
17,17,6823,I congratulate him on -- on taking out Osama bin Laden and going after the leadership in al-Qaeda.,4,40_2012,17,17,3570,3669,,"{""Premise"": 18, ""O"": 1}",Premise,I congratulate him on -- on taking out Osama bin Laden and going after the leadership in al-Qaeda.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,255.24,260.84,clip_17
18,18,6824,But we can't kill our way out of this mess.,4,40_2012,18,18,3670,3714,,"{""O"": 2, ""Premise"": 10}",Premise,But we can't kill our way out of this mess.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,260.84,263.48,clip_18
19,19,6825,"We're going to have to put in place a very comprehensive and robust strategy to help the -- the world of Islam and other parts of the world, reject this radical violent extremism, which is -- it's certainly not on the run.",4,40_2012,19,19,3714,3937,,"{""Claim"": 42, ""O"": 5}",Claim,"We're going to have to put in place a very comprehensive and robust strategy to help the -- the world of Islam and other parts of the world, reject this radical violent extremism, which is -- it's certainly not on the run.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,263.48,276.72,clip_19
20,20,6826,ROMNEY: It's certainly not hiding.,5,40_2012,0,0,3939,3974,,"{""O"": 3, ""Claim"": 5}",Claim, It's certainly not hiding.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,276.72,279.04,clip_20
21,21,6827,"This is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",5,40_2012,1,1,3974,4203,,"{""Premise"": 31, ""O"": 5, ""Claim"": 13}",Premise,"This is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Mixed,279.04,293.32,clip_21
22,22,6828,"OBAMA: Well, my first job as commander in chief, Bob, is to keep the American people safe.",7,40_2012,0,0,4231,4322,,"{""O"": 5, ""Premise"": 17}",Premise," Well, my first job as commander in chief, Bob, is to keep the American people safe.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,294.76,299.28,clip_22
23,23,6829,And that's what we've done over the last four years.,7,40_2012,1,1,4322,4375,,"{""O"": 2, ""Claim"": 11}",Claim,And that's what we've done over the last four years.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Claim,299.28,302.32,clip_23
24,24,6830,"We ended the war in Iraq, refocused our attention on those who actually killed us on 9/11.",7,40_2012,2,2,4375,4466,,"{""Premise"": 17, ""O"": 2}",Premise,"We ended the war in Iraq, refocused our attention on those who actually killed us on 9/11.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,302.32,308.76,clip_24
25,25,6831,"And as a consequence, Al Qaeda's core leadership has been decimated.",7,40_2012,3,3,4466,4535,,"{""O"": 2, ""Premise"": 12}",Premise,"And as a consequence, Al Qaeda's core leadership has been decimated.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,308.76,313.68,clip_25
26,26,6832,"In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security.",7,40_2012,4,4,4536,4688,,"{""Premise"": 27, ""O"": 1}",Premise,"In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,313.68,324.56,clip_26
27,27,6833,And that allows us also to rebuild alliances and make friends around the world to combat future threats.,7,40_2012,5,5,4688,4793,,"{""O"": 2, ""Premise"": 17}",Premise,And that allows us also to rebuild alliances and make friends around the world to combat future threats.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,324.56,333.96,clip_27
28,28,6834,"Now with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, that we did everything we could to secure those Americans who were still in harm's way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice.",7,40_2012,6,6,4793,5202,,"{""O"": 5, ""Premise"": 78}",Premise,"Now with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, that we did everything we could to secure those Americans who were still in harm's way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,333.96,357.88,clip_28
29,29,6835,And that's exactly what we're going to do.,7,40_2012,7,7,5202,5245,,"{""O"": 2, ""Claim"": 9}",Claim,And that's exactly what we're going to do.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Claim,357.88,361.04,clip_29
30,30,6836,But I think it's important to step back and think about what happened in Libya.,7,40_2012,8,8,5246,5326,,"{""O"": 2, ""Claim"": 15}",Claim,But I think it's important to step back and think about what happened in Libya.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Claim,361.04,366.72,clip_30
31,31,6837,"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years.",7,40_2012,9,9,5326,5630,,"{""Premise"": 58, ""O"": 1}",Premise,"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,366.72,384.52,clip_31
32,32,6838,"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend.",7,40_2012,10,10,5630,5828,,"{""Premise"": 37, ""O"": 1}",Premise,"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Premise,384.52,398.44,clip_32
33,33,6839,We stand with them.,7,40_2012,11,11,5828,5848,,"{""Claim"": 4, ""O"": 1}",Claim,We stand with them.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Claim,398.44,400.24,clip_33
34,34,6840,OBAMA: Now that represents the opportunity we have to take advantage of.,8,40_2012,0,0,5850,5923,,"{""O"": 4, ""Claim"": 10}",Claim, Now that represents the opportunity we have to take advantage of.,OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Claim,400.24,403.4,clip_34
35,35,6841,"And, you know, Governor Romney, I'm glad that you agree that we have been successful in going after Al Qaida, but I have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East.",8,40_2012,1,1,5923,6248,,"{""O"": 37, ""Claim"": 33}",O,"And, you know, Governor Romney, I'm glad that you agree that we have been successful in going after Al Qaida, but I have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East.",OBAMA,Candidate,TEST,22 Oct 2012,2012,Barack H. Obama,Mixed,403.4,424.52,clip_35
36,36,6842,"ROMNEY: Well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to -- to kill them, to take them out of the picture.",9,40_2012,0,0,6249,6442,,"{""O"": 6, ""Claim"": 5, ""Premise"": 34}",Premise," Well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to -- to kill them, to take them out of the picture.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Mixed,424.52,434.96,clip_36
37,37,6843,But my strategy is broader than that.,9,40_2012,1,1,6442,6480,,"{""O"": 2, ""Claim"": 6}",Claim,But my strategy is broader than that.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,434.96,436.8,clip_37
38,38,6844,"That's -- that's important, of course.",9,40_2012,2,2,6480,6519,,"{""O"": 10}",O,"That's -- that's important, of course.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,436.8,439.08,clip_38
39,39,6845,But the key that we're going to have to pursue is a -- is a pathway to get the Muslim world to be able to reject extremism on its own.,9,40_2012,3,3,6519,6654,,"{""O"": 2, ""Claim"": 30}",Claim,But the key that we're going to have to pursue is a -- is a pathway to get the Muslim world to be able to reject extremism on its own.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,439.08,446.16,clip_39
40,40,6846,"We don't want another Iraq, we don't want another Afghanistan.",9,40_2012,4,4,6655,6718,,"{""Premise"": 12, ""O"": 2}",Premise,"We don't want another Iraq, we don't want another Afghanistan.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,446.16,449.04,clip_40
41,41,6847,That's not the right course for us.,9,40_2012,5,5,6718,6754,,"{""Premise"": 8, ""O"": 1}",Premise,That's not the right course for us.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,449.04,450.56,clip_41
42,42,6848,"The right course for us is to make sure that we go after the -- the people who are leaders of these various anti-American groups and these -- these jihadists, but also help the Muslim world.",9,40_2012,6,6,6754,6945,,"{""Claim"": 37, ""O"": 1}",Claim,"The right course for us is to make sure that we go after the -- the people who are leaders of these various anti-American groups and these -- these jihadists, but also help the Muslim world.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,450.56,460.96,clip_42
43,43,6849,And how do we do that?,9,40_2012,7,7,6946,6969,,"{""O"": 7}",O,And how do we do that?,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,O,460.96,461.76,clip_43
44,44,6850,"A group of Arab scholars came together, organized by the U.N., to look at how we can help the -- the world reject these -- these terrorists.",9,40_2012,8,8,6969,7110,,"{""Premise"": 29, ""O"": 1}",Premise,"A group of Arab scholars came together, organized by the U.N., to look at how we can help the -- the world reject these -- these terrorists.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,461.76,469.44,clip_44
45,45,6851,"And the answer they came up with was this:  One, more economic development.",9,40_2012,9,9,7110,7186,,"{""O"": 2, ""Premise"": 14}",Premise,"And the answer they came up with was this:  One, more economic development.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,469.44,472.64,clip_45
46,46,6852,"We should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we -- we push back and give them more economic development.",9,40_2012,10,10,7186,7375,,"{""Claim"": 36, ""O"": 2}",Claim,"We should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we -- we push back and give them more economic development.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,472.64,481.72,clip_46
47,47,6853,"Number two, better education.",9,40_2012,11,11,7376,7406,,"{""Premise"": 5, ""O"": 1}",Premise,"Number two, better education.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,481.72,483.68,clip_47
48,48,6854,"Number three, gender equality.",9,40_2012,12,12,7407,7438,,"{""Premise"": 5, ""O"": 1}",Premise,"Number three, gender equality.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,483.68,485.76,clip_48
49,49,6855,"Number four, the rule of law.",9,40_2012,13,13,7439,7469,,"{""Premise"": 7, ""O"": 1}",Premise,"Number four, the rule of law.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,485.76,487.72,clip_49
50,50,6856,We have to help these nations create civil societies.,9,40_2012,14,14,7469,7523,,"{""Claim"": 9, ""O"": 1}",Claim,We have to help these nations create civil societies.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Claim,487.72,490.68,clip_50
51,51,6857,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",9,40_2012,15,15,7524,7737,,"{""O"": 2, ""Premise"": 44}",Premise,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,490.68,503.28,clip_51
52,52,6858,And -- and they're throughout many nations in the Middle East.,9,40_2012,16,16,7737,7800,,"{""O"": 4, ""Premise"": 9}",Premise,And -- and they're throughout many nations in the Middle East.,ROMNEY,Candidate,TEST,22 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,503.28,506.28,clip_52
