id;link;startMin;startSec;endMin;endSec
30_2004;https://www.youtube.com/watch?v=_hEeMvhcNlE&t=4579s;0;8;0;52
5_1976;https://www.youtube.com/watch?v=xdQK78l3Xhc&t=119s;0;6;40;19
24_1996;https://www.youtube.com/watch?v=2SBiyLXto9s;0;7;0;23
23_1996;https://www.youtube.com/watch?v=HZCcSTz1qLo;0;7;0;18
6_1976;https://www.youtube.com/watch?v=fj5A38gKHfk;0;7;0;49
33_2008;https://www.youtube.com/watch?v=4b7NfEZWBzw;0;9;0;32
14_1988;https://www.youtube.com/watch?v=4hurHlHQf2I;0;8;0;27
34_2008;https://www.youtube.com/watch?v=eOombKZSsj4;0;7;0;35
40_2012;https://www.youtube.com/watch?v=hCi4WHx3yDA&t=128s;0;8;0;43
36_2008;https://www.youtube.com/watch?v=vRQhXooojjY;0;7;0;29
2_1960;https://www.youtube.com/watch?v=fE61QJ3-GG8;0;7;0;56
8_1980;https://www.youtube.com/watch?v=fVj2llCwJtE;0;6;0;49
35_2008;https://www.youtube.com/watch?v=V0ppjZvvgDU;0;7;0;41
12_1984;https://www.youtube.com/watch?v=5SbsCaRYW6w;0;13;0;52
18_1992;https://www.youtube.com/watch?v=BIq_mW-nSnQ;0;9;0;41
32_2004;https://www.youtube.com/watch?v=cIHRMoVKXb0;0;7;0;28
29_2004;https://www.youtube.com/watch?v=WYpP-T0IcyA;0;7;0;57
4_1960;https://www.youtube.com/watch?v=-9cdRpE4KKc&t=5s;0;7;1;23
22_1996;https://www.youtube.com/watch?v=ffnQaODsgD4&t=8s;5;9;0;11
10_1984;https://www.youtube.com/watch?v=ObDjMJdNGBw;0;7;1;12
27_2000;https://www.youtube.com/watch?v=irzSo578gmg;0;12;0;28
16_1992;https://www.youtube.com/watch?v=jWo88Lr0rzw;1;53;37;42
7_1976;https://www.youtube.com/watch?v=50WmNau8Pyw;0;8;1;56
37_2012;https://www.youtube.com/watch?v=KfaBRyCKRhk&t=23s;0;8;0;27
19_1992;https://www.youtube.com/watch?v=cm-UAfEdWg4;0;8;0;36
26_2000;https://www.youtube.com/watch?v=HrHX9woYl5w;0;8;1;26
39_2012;https://www.youtube.com/watch?v=jhXgbrkFJ_s&t=12s;0;8;0;35
1_1960;https://www.youtube.com/watch?v=AYP8-oxq8ig&t=11s;0;7;0;8
38_2012;https://www.youtube.com/watch?v=yYcdSwbrErI;0;8;0;29
28_2000;https://www.youtube.com/watch?v=uKDFcOfqGMQ;0;7;0;30
25_2000;https://www.youtube.com/watch?v=HwQBeMUj_ps;0;7;21;8
9_1980;https://www.youtube.com/watch?v=_8YxFc_1b_0;0;17;0;40
21_1992;https://www.youtube.com/watch?v=eg7-QJrJZV0;48;21;0;45
15_1988;https://www.youtube.com/watch?v=hHCUvx3tpnM;0;10;0;21
20_1992;https://www.youtube.com/watch?v=eg7-QJrJZV0 ;0;7;48;20
3_1960;https://www.youtube.com/watch?v=OHjWb5XsAMI;0;7;2;29
11_1984;https://www.youtube.com/watch?v=VMUsWsygJJM;0;7;0;51
31_2004;https://www.youtube.com/watch?v=cKcav-uF4eY;0;7;1;2
